,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Band_Gray,Red,Green,Blue,X,Y,Lv,x,y,Lv,x,y,Lv,X,Y,Applied,Loop
B2_G4,287,372,361,,,,0.29,0.326,0.043664724,0.003,0.003,0.000873294,0.0003,0.0003,,
B3_G255,318,260,420,,,,0.305,0.321,213.4295239,0.0008,0.0008,0.640288572,0.0003,0.0003,,
B3_G191,454,445,444,,,,0.305,0.321,113.0158892,0.0008,0.0008,0.339047668,0.0003,0.0003,,
B3_G127,435,422,425,,,,0.305,0.321,46.05049308,0.0008,0.0008,0.138151479,0.0003,0.0003,,
B3_G95,467,456,459,,,,0.305,0.321,24.31409058,0.0008,0.0008,0.072942272,0.0003,0.0003,,
B3_G63,412,388,395,,,,0.305,0.321,9.849525465,0.0008,0.0008,0.029548576,0.0003,0.0003,,
B3_G47,470,453,457,,,,0.305,0.321,5.169890992,0.0011,0.0011,0.015509673,0.0003,0.0003,,
B3_G31,414,377,386,,,,0.305,0.321,2.069482818,0.0022,0.0022,0.008277931,0.0003,0.0003,,
B3_G23,464,447,447,,,,0.305,0.321,1.07316707,0.0022,0.0022,0.004292668,0.0003,0.0003,,
B3_G15,397,370,373,,,,0.305,0.321,0.419050988,0.0022,0.0022,0.002514306,0.0003,0.0003,,
B3_G7,370,401,392,,,,0.29,0.326,0.078357719,0.0025,0.0025,0.000783577,0.0003,0.0003,,
B3_G4,290,423,411,,,,0.28,0.331,0.022876948,0.00405,0.00405,0.000457539,0.0003,0.0003,,
B4_G255,317,260,419,,,,0.305,0.321,107.7163452,0.0008,0.0008,0.323149036,0.0003,0.0003,,
B4_G191,457,448,449,,,,0.305,0.321,57.03830621,0.0008,0.0008,0.171114919,0.0003,0.0003,,
B4_G127,439,424,428,,,,0.305,0.321,23.24135255,0.0008,0.0008,0.069724058,0.0003,0.0003,,
B4_G95,468,458,461,,,,0.305,0.321,12.27114659,0.0008,0.0008,0.03681344,0.0003,0.0003,,
B4_G63,414,390,398,,,,0.305,0.321,4.97098464,0.0011,0.0011,0.019883939,0.0003,0.0003,,
B4_G47,470,453,457,,,,0.305,0.321,2.609206789,0.0022,0.0022,0.010436827,0.0003,0.0003,,
B4_G31,413,381,387,,,,0.305,0.321,1.044453089,0.0022,0.0022,0.004177812,0.0003,0.0003,,
B4_G23,459,452,449,,,,0.305,0.321,0.541619699,0.0022,0.0022,0.002708098,0.0003,0.0003,,
B4_G15,389,390,384,,,,0.299,0.321,0.211492019,0.0022,0.0022,0.001480444,0.0003,0.0003,,
B4_G7,378,438,424,,,,0.28,0.331,0.039546577,0.003,0.003,0.000790932,0.0003,0.0003,,
B4_G5,356,467,453,,,,0.27,0.341,0.018863715,0.006,0.006,0.000377274,0.0003,0.0003,,
B5_G255,317,260,420,,,,0.305,0.321,71.81089679,0.0008,0.0008,0.21543269,0.0003,0.0003,,
B5_G191,458,448,450,,,,0.305,0.321,38.02553747,0.0008,0.0008,0.114076612,0.0003,0.0003,,
B5_G127,438,422,429,,,,0.305,0.321,15.49423503,0.0008,0.0008,0.046482705,0.0003,0.0003,,
B5_G95,467,456,460,,,,0.305,0.321,8.180764391,0.0008,0.0008,0.024542293,0.0003,0.0003,,
B5_G63,413,384,395,,,,0.305,0.321,3.31398976,0.0022,0.0022,0.013255959,0.0003,0.0003,,
B5_G47,467,451,456,,,,0.305,0.321,1.739471193,0.0022,0.0022,0.006957885,0.0003,0.0003,,
B5_G31,404,371,385,,,,0.305,0.321,0.69630206,0.0022,0.0022,0.00348151,0.0003,0.0003,,
B5_G23,457,446,450,,,,0.305,0.321,0.361079799,0.0022,0.0022,0.002166479,0.0003,0.0003,,
B5_G15,377,370,386,,,,0.299,0.321,0.140994679,0.0022,0.0022,0.000986963,0.0003,0.0003,,
B5_G7,332,418,427,,,,0.28,0.331,0.026364385,0.003,0.003,0.000527288,0.0003,0.0003,,
B5_G3,350,463,460,,,,0.27,0.341,0.004087603,1,1,900,0.0003,0.0003,,
B6_G255,318,260,421,,,,0.305,0.321,48.78264701,0.0008,0.0008,0.146347941,0.0003,0.0003,,
B6_G191,457,448,451,,,,0.305,0.321,25.83154444,0.0008,0.0008,0.077494633,0.0003,0.0003,,
B6_G127,438,421,428,,,,0.305,0.321,10.52555854,0.0008,0.0008,0.031576676,0.0003,0.0003,,
B6_G95,467,453,460,,,,0.305,0.321,5.557364682,0.0011,0.0011,0.016672094,0.0003,0.0003,,
B5_G63,436,411,424,,,,0.305,0.321,3.31398976,0.0022,0.0022,0.013255959,0.0003,0.0003,,
B6_G47,438,413,424,,,,0.305,0.321,1.181659232,0.0022,0.0022,0.004726637,0.0003,0.0003,,
B6_G31,378,337,357,,,,0.305,0.321,0.47301258,0.0022,0.0022,0.002838075,0.0003,0.0003,,
B6_G23,452,442,453,,,,0.299,0.321,0.245289074,0.0022,0.0022,0.001717024,0.0003,0.0003,,
B6_G15,365,365,391,,,,0.29,0.326,0.09578064,0.0025,0.0025,0.000957806,0.0003,0.0003,,
B6_G8,323,409,435,,,,0.28,0.331,0.024025638,0.00405,0.00405,0.000480513,0.0003,0.0003,,
B6_G4,350,463,460,,,,0.27,0.341,0.005228883,1,1,900,0.0003,0.0003,,
