,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Band_Gray,Red,Green,Blue,X,Y,Lv,x,y,Lv,x,y,Lv,X,Y,Applied,Loop
B5_G191,458,448,450,,,,0.305,0.321,38.02554,0.0008,0.0008,0.23828545,0.0003,0.0003,,
B5_G127,438,422,429,,,,0.305,0.321,15.49424,0.0008,0.0008,0.09709398,0.0003,0.0003,,
B5_G95,467,456,460,,,,0.305,0.321,8.180764,0.0011,0.0011,0.05126442,0.0003,0.0003,,
B5_G63,413,384,395,,,,0.305,0.321,3.31399,0.0022,0.0022,0.020766979,0.0003,0.0003,,
B5_G47,467,451,456,,,,0.305,0.321,1.739471,0.0022,0.0022,0.010900324,0.0003,0.0003,,
B5_G31,404,371,385,,,,0.305,0.321,0.696302,0.0022,0.0022,0.004363348,0.0003,0.0003,,
B5_G23,457,446,450,,,,0.305,0.321,0.36108,0.0022,0.0022,0.004525383,0.0003,0.0003,,
B5_G15,377,370,386,,,,0.299,0.321,0.140995,0.0022,0.0022,0.001767075,0.0003,0.0003,,
B5_G7,332,418,427,,,,0.28,0.331,0.026364,0.003,0.003,0.000660845,0.0003,0.0003,,
B5_G3,350,463,460,,,,0.27,0.341,0.004088,1,1,1000,0.0003,0.0003,,
B6_G255,318,260,421,,,,0.305,0.321,48.78,0.001,0.001,0.58536,0.0003,0.0003,,
B6_G191,457,448,451,,,,0.305,0.321,25.83154,0.0008,0.0008,0.158856967,0.0003,0.0003,,
B6_G127,438,421,428,,,,0.305,0.321,10.52556,0.0008,0.0008,0.06472932,0.0003,0.0003,,
B6_G95,467,453,460,,,,0.305,0.321,5.557365,0.0011,0.0011,0.03417628,0.0003,0.0003,,
B5_G63,436,411,424,,,,0.305,0.321,2.251263,0.0022,0.0022,0.013844653,0.0003,0.0003,,
B6_G47,438,413,424,,,,0.305,0.321,1.181659,0.0022,0.0022,0.007266883,0.0003,0.0003,,
B6_G31,378,337,357,,,,0.305,0.321,0.473013,0.0022,0.0022,0.005817797,0.0003,0.0003,,
B6_G23,452,442,453,,,,0.299,0.321,0.245289,0.0022,0.0022,0.003016922,0.0003,0.0003,,
B6_G15,365,365,391,,,,0.29,0.326,0.095781,0.0025,0.0025,0.00117805,0.0003,0.0003,,
B6_G8,323,409,435,,,,0.28,0.331,0.024026,0.006,0.006,0.001773014,0.0003,0.0003,,
B6_G4,350,463,460,,,,0.27,0.341,0.005229,1,1,1000,0.0003,0.0003,,
B7_G255,317,260,423,,,,0.305,0.321,24.39,0.001,0.001,0.29268,0.0003,0.0003,,
B7_G191,458,446,451,,,,0.305,0.321,12.91577,0.0008,0.0008,0.079428483,0.0003,0.0003,,
B7_G127,438,418,430,,,,0.305,0.321,5.262779,0.0011,0.0011,0.03236466,0.0003,0.0003,,
B7_G95,467,450,460,,,,0.305,0.321,2.778682,0.0022,0.0022,0.01708814,0.0003,0.0003,,
B7_G63,406,371,393,,,,0.305,0.321,1.125631,0.0022,0.0022,0.006922326,0.0003,0.0003,,
B7_G47,463,442,454,,,,0.305,0.321,0.59083,0.0022,0.0022,0.007266883,0.0003,0.0003,,
B7_G31,393,353,384,,,,0.299,0.321,0.236506,0.0022,0.0022,0.002908899,0.0003,0.0003,,
B7_G23,451,437,456,,,,0.299,0.321,0.122645,0.0022,0.0022,0.001508461,0.0003,0.0003,,
B7_G15,353,362,405,,,,0.29,0.326,0.04789,0.003,0.003,0.00117805,0.0003,0.0003,,
B7_G11,297,417,453,,,,0.28,0.331,0.024205,0.006,0.006,0.001786274,0.0003,0.0003,,
